feedback_text,sentiment
"I enjoyed the projects, they were amazing and engaging.",positive
The tasks were great and I learned engaging amounts.,positive
I felt enjoyable supported and the experience was excellent.,positive
"The internship was excellent, mentors were very wonderful.",positive
Everything about this internship was amazing and positive.,positive
I felt wonderful supported and the experience was helpful.,positive
"Mentorship was amazing, I would happily recommend this.",positive
"Feedback was fantastic and great, it helped me grow.",positive
"I loved the projects, they were excellent and helpful.",positive
"Feedback was enjoyable and fantastic, it helped me grow.",positive
"The program felt positive, well organized and excellent.",positive
I felt smooth supported and the experience was fantastic.,positive
Everything about this internship was wonderful and engaging.,positive
The tasks were fantastic and I learned excellent amounts.,positive
Overall this was a fantastic and rewarding experience.,positive
"Communication was supportive, the team felt supportive.",positive
"Mentorship was engaging, I would definitely recommend this.",positive
Everything about this internship was smooth and great.,positive
The tasks were great and I learned rewarding amounts.,positive
I felt smooth supported and the experience was wonderful.,positive
The tasks were amazing and I learned supportive amounts.,positive
"I appreciated the projects, they were wonderful and enjoyable.",positive
The tasks were smooth and I learned rewarding amounts.,positive
"The program felt great, well organized and fantastic.",positive
I felt fantastic supported and the experience was positive.,positive
Overall this was a enjoyable and helpful experience.,positive
"Communication was positive, the team felt rewarding.",positive
"I loved the projects, they were great and smooth.",positive
Overall this was a enjoyable and excellent experience.,positive
Everything about this internship was rewarding and positive.,positive
"The internship was rushed, mentors were very uninterested.",negative
I felt rushed unsupported and the experience was confusing.,negative
"Mentorship was pointless, I would never recommend this.",negative
"Mentorship was negative, I would never recommend this.",negative
"Mentorship was rushed, I would never recommend this.",negative
"Communication was unhelpful, the team felt disappointing.",negative
"The internship was boring, mentors were very unhelpful.",negative
"I disliked the projects, they were unhelpful and confusing.",negative
The tasks were boring and I learned poor amounts.,negative
"The program felt poor, poorly organized and negative.",negative
"The program felt negative, poorly organized and disappointing.",negative
Everything about this internship was pointless and frustrating.,negative
The tasks were uninterested and I learned confusing amounts.,negative
"Feedback was terrible and negative, it did not help me grow.",negative
The tasks were frustrating and I learned poor amounts.,negative
Everything about this internship was negative and frustrating.,negative
"The internship was poor, mentors were very uninterested.",negative
The tasks were poor and I learned disorganized amounts.,negative
I felt confusing unsupported and the experience was frustrating.,negative
The tasks were negative and I learned disappointing amounts.,negative
Everything about this internship was terrible and frustrating.,negative
The tasks were poor and I learned poor amounts.,negative
"Feedback was pointless and pointless, it did not help me grow.",negative
"The internship was rushed, mentors were very rushed.",negative
"The internship was pointless, mentors were very uninterested.",negative
The tasks were frustrating and I learned frustrating amounts.,negative
"Communication was pointless, the team felt disappointing.",negative
The tasks were poor and I learned terrible amounts.,negative
"The internship was rushed, mentors were very negative.",negative
The tasks were disappointing and I learned pointless amounts.,negative
